ID,Common Name,Scientific Name,Family,Order/Taxa,Category,Sub-Category,Location,Habitat,Trophic Level,Ecological Role,Description,Image Target,Survey Source,Contributor Team
FL-12,Paper Flower / Bougainvillea,Bougainvillea glabra,Nyctaginaceae,,Plant (Ornamental Woody Climber / Shrub),,Ornamental garden beside fountain,Trained on pergola / Garden trellis,Primary Producer (Trophic Level 1),Drought-tolerant climbing woody shrub with vibrant magenta-pink petaloid bracts enclosing small tubular flowers. Provides dense nesting foliage for birds and abundant nectar for long-tongued butterflies and bees.,"Vigorous thorny evergreen shrub or woody climber featuring showy, paper-thin magenta bracts. Bracts shield delicate cream-white floral tubes adapted for pollinator visits.",bougainvillea_glabra.png,Assignment 2 Survey (Team Katyayani),Team Katyayani
FL-13,Pink Knotweed / Denseflower Knotweed,Persicaria barbata,Polygonaceae,,Plant (Erect Herb / Wetland Emergent),,Snowcube,Moist soil / Grassy open ground,Primary Producer (Trophic Level 1),Moisture-loving perennial herb producing slender spikes of delicate pink flowers. Helps stabilize moist soil and provides nectar to campus micro-pollinators.,Herbaceous plant characterized by lanceolate leaves with ciliate ocreae and dense spicate racemes of pinkish-white flowers. Thrives in localized damp spots near open campus lawns.,persicaria_barbata.png,Assignment 2 Survey (Team Katyayani),Team Katyayani
FL-14,Scarlet & Pink Ixora / Jungle Geranium,Ixora coccinea,Rubiaceae,,Plant (Evergreen Ornamental Shrub),,"Central plaza beds, SSN Admin Block Road","Clipped hedge, full sun to partial shade",Primary Producer (Trophic Level 1),"Compact evergreen shrub with dense corymbs of scarlet-red and pink tubular flowers. Long corolla tubes provide critical nectar resources for long-tongued butterflies, sunbirds, and honeybees.","Dense flowering shrub with opposite, glossy leathery oblong leaves and terminal clusters of four-petaled scarlet or salmon-pink tubular flowers. Extensively cultivated as attractive boundary hedges.",ixora_coccinea.png,Assignment 2 Survey (Team Prathin),Team Prathin
FL-15,Egyptian Starcluster,Pentas lanceolata,Rubiaceae,,Plant (Perennial Flowering Herb / Subshrub),,Chemical Engineering block frontage,"Potted planters, maintained ornamental beds",Primary Producer (Trophic Level 1),Continuously blooming nectar plant bearing corymbs of 5-pointed star-shaped pink/magenta flowers. Consistently recorded as the most visited nectar source for butterflies and native bees on campus.,Erect perennial with lanceolate veined leaves and terminal umbel-like cymes packed with star-shaped tubular flowers. Highly prized in campus pollinator gardens.,pentas_lanceolata.png,Assignment 2 Survey (Team Prathin),Team Prathin
FL-16,Common Zinnia,Zinnia elegans,Asteraceae,,Plant (Annual Flowering Herb),,"Central plaza beds, SSN Admin Block Road","Container soil & open garden beds, full sun",Primary Producer (Trophic Level 1),"Sun-loving composite flower with exposed central disc florets and bright pink/crimson ray petals. Easily accessible nectar and pollen sustain native bees, syrphid flies, and butterflies.","Stiff, erect annual herb with opposite sessile leaves and solitary composite flower heads. Central disc florets provide accessible pollen rewards.",zinnia_elegans.png,Assignment 2 Survey (Team Prathin),Team Prathin
FL-17,Florist's Chrysanthemum,Chrysanthemum morifolium,Asteraceae,,Plant (Perennial Herb / Asteraceae),,"Hostel garden pots, Gents Hostel Road","Potted cultivation, partial shade",Primary Producer (Trophic Level 1),Ornamental potted cultivar bearing multi-layered white-and-yellow double flower heads. Cultivated for student residence aesthetics.,Bushy perennial with lobed aromatic foliage and pompon-like multi-petaled double floral heads. Densely packed ray florets offer structural microclimate in patio pots.,chrysanthemum_morifolium.png,Assignment 2 Survey (Team Prathin),Team Prathin
FL-18,Garden Cosmos / Mexican Aster,Cosmos bipinnatus,Asteraceae,,Plant (Self-seeding Herb / Asteraceae),,"Central plaza beds, SSN Admin Block Road",Rough grassy margins beside maintained beds,Primary Producer (Trophic Level 1),Feathery-foliaged annual herb with saucer-like lilac-pink ray florets surrounding a yellow disc. Readily self-seeds in open grassy verge habitats and attracts beneficial pollinators.,Slender herbaceous annual with deeply divided pinnatisect leaves and terminal flower heads with delicate fluted ray petals radiating from a sunny yellow center.,cosmos_bipinnatus.png,Assignment 2 Survey (Team Prathin),Team Prathin
FL-19,Crepe Jasmine / Pinwheel Flower,Tabernaemontana divaricata,Apocynaceae,,Plant (Evergreen Shrub / Apocynaceae),,"Central plaza beds, SSN Admin Block Road",Shaded shrub beds beside paving,Primary Producer (Trophic Level 1),Evergreen shrub bearing waxy pinwheel-shaped white flowers emitting a delicate fragrance at dusk. Sustains nocturnal moths and diurnal micro-insects.,Glossy-leaved dichotomously branched evergreen shrub with milky sap and snow-white 5-petaled pinwheel flowers arranged in small cymes.,tabernaemontana_divaricata.png,Assignment 2 Survey (Team Prathin),Team Prathin
FL-20,Common Lantana / Wild Sage,Lantana camara,Verbenaceae,,Plant (Sprawling Shrub / Naturalised),,Rough ground beside Bio-Medical Engineering block,"Disturbed open soil, roadside wasteland & leaf litter",Primary Producer (Trophic Level 1),"Hardy, multi-colored flowering shrub with inflorescences shifting from yellow to pink to orange. While ecologically invasive in forests, campus bushes act as an indispensable nectar magnet for butterflies.",Perennial woody shrub with ovate scabrous leaves with toothed margins and compact umbilical head of tubular flowers in contrasting colors. Produces small dark drupes.,lantana_camara.png,Assignment 2 Survey (Team Prathin),Team Prathin
FL-21,Golden Dewdrop / Skyflower,Duranta erecta,Verbenaceae,,Plant (Ornamental Hedge Shrub),,Lawn beside Sports Complex,Clipped hedge beside mown turf,Primary Producer (Trophic Level 1),Bright chartreuse-foliaged shrub maintained as a formal boundary hedge. Serves as a vital lookout and thermoregulation perch for oriental garden lizards (*Calotes versicolor*).,Sprawling woody shrub cultivated for its vibrant golden-green foliage. Provides dense shelter and perches along the perimeter of open lawn turf.,duranta_erecta.png,Assignment 2 Survey (Team Prathin),Team Prathin
FL-22,Bermuda Grass / Arugampullu,Cynodon dactylon,Poaceae,,Plant (Perennial Turf Grass),,All mown lawns across campus,"Mown turf, open sun, sports fields",Primary Producer (Trophic Level 1),"Stoloniferous mat-forming perennial grass that stabilizes campus topsoil, resists foot traffic, and provides primary forage for herbivorous grasshoppers, seed bugs, and peafowl.","Hardy prostrate grass with extensive rhizomes and stolons, greyish-green blades, and terminal digitately arranged flower spikes.",cynodon_dactylon.png,Assignment 2 Survey (Team Prathin),Team Prathin
FL-23,Parasol Mushroom / Lawn Chlorophyllum,Chlorophyllum sp.,Agaricaceae,,Fungi (Saprotrophic Agaric),,Lawn beside the Sports Complex,Damp mown turf following monsoon rains,Decomposer / Saprotroph (Trophic Level 1-2),"Saprotrophic macrofungus whose subterranean mycelial network rapidly breaks down dead lawn grass roots and organic clippings, unlocking mineral nutrients back to the soil.",Fruiting mushroom with a tall stalk and a broad convex cap covered in concentric brownish scales on a pale background. Appears gregariously in open lawns after heavy rainfall.,chlorophyllum_sp.png,Assignment 2 Survey (Team Prathin),Team Prathin
FL-24,Willowleaf Angelon / Summer Snapdragon,Angelonia salicariifolia,Plantaginaceae,,Plant (Perennial Herb / Plantaginaceae),,Near Clocktower,Naturalised herb in cultivated garden borders,Primary Producer (Trophic Level 1),Hardy perennial herb producing dense upright spikes of two-lipped violet-purple flowers with specialized floral oil glands that attract solitary pollinating bees.,Bushy erect herb with narrow willow-like serrated leaves and terminal spikes crowded with purple snapdragon-like flowers emitting an apple-like scent.,angelonia_salicariifolia.png,Assignment 2 Survey (Team Rehan),Team Viswa
FL-25,Sago Palm / King Sago Cycad,Cycas revoluta,Cycadaceae,,Plant (Gymnosperm / Ancient Cycad),,Garden Lawn near AB1,"Ornamental lawn planting, full sun to partial shade",Primary Producer (Trophic Level 1),"Ancient gymnosperm dating back to the Mesozoic era, possessing nitrogen-fixing coralloid roots with symbiotic cyanobacteria. Provides high architectural landscape value.","Slow-growing palm-like cycad featuring a thick shaggy trunk topped by a symmetrical rosette of stiff, glossy dark green pinnate leaves with revolute margins.",cycas_revoluta.png,Assignment 2 Survey (Team Rehan),Team Viswa
FL-26,Ruffled Fan Palm / Vanuatu Fan Palm,Licuala grandis,Arecaceae,,Plant (Solitary Fan Palm / Arecaceae),,AB1 Entrance,Shaded indoor-outdoor courtyard planting,Primary Producer (Trophic Level 1),Understory palm prized for magnificent undivided pleated circular fronds that channel rainwater down petioles to root zones.,"Stunning small solitary palm with erect slender trunk and large, undivided orbicular fan-shaped leaves with deeply pleated, notched margins.",licuala_grandis.png,Assignment 2 Survey (Team Rehan),Team Viswa
FL-27,Golden Melinonii,Philodendron melinonii 'Golden',Araceae,,Plant (Epiphytic / Potted Aroid),,AB1 Golden Stairs,"Shaded, moist gravel/soil planter",Primary Producer (Trophic Level 1),Vibrant yellow-green architectural aroid capable of absorbing indoor atmospheric pollutants and thriving in low-light shaded planters.,Stout rosette-forming tropical aroid displaying luminous chartreuse-gold ovate leaves supported by robust succulent orange-tinted petioles.,philodendron_melinonii.png,Assignment 2 Survey (Team Rehan),Team Viswa
FL-28,Wild Jasmine / Ban Mallika,Jasminum angustifolium,Oleaceae,,Plant (Woody Climbing Vine),,Near AB3,Trailing over rocks and roadside embankments,Primary Producer (Trophic Level 1),Native drought-hardy climber with fragrant star-shaped white flowers that attract nocturnal hawkmoths and diurnal butterflies. Foliage binds embankment rocks.,Slender climbing or scrambling shrub with small opposite ovate-lanceolate glossy leaves and solitary or clustered sweet-scented white starry flowers.,jasminum_angustifolium.png,Assignment 2 Survey (Team Rehan),Team Viswa
FL-29,Gulmohar / Royal Poinciana (Flame Tree),Delonix regia,Fabaceae,,Plant (Large Deciduous Canopy Tree),,Clocktower,Large flowering avenue and shade tree,Primary Producer (Trophic Level 1),"Spreading umbrella-canopy tree with feathery bipinnate leaves and fiery scarlet blooms. Major shade provider, microclimate moderator, and avian nesting canopy.",Magnificent broad-crowned tree producing sensational clusters of 4 spreading scarlet petals and a fifth upright variegated yellow/white standard petal.,delonix_regia.png,Assignment 2 Survey (Team Rehan),Team Viswa
FL-30,Giant Crinum Lily / Poison Bulb,Crinum asiaticum,Amaryllidaceae,,Plant (Robust Bulbous Perennial Herb),,Near Old Sports Complex,Moist garden bed & landscaped lawn contours,Primary Producer (Trophic Level 1),Large bulbous plant bearing fragrant white spidery flowers with reddish-purple filaments. Attracts night-flying sphinx moths; roots bind loose sandy-loam soils.,"Massive perennial herb with thick false stems, broad strap-like fleshy leaves, and an elevated umbel of tubular pure white flowers with thread-like recurved petals.",crinum_asiaticum.png,Assignment 2 Survey (Team Rehan),Team Viswa
FL-31,East Indian Walnut / Siris Tree,Albizia lebbeck,Fabaceae,,Plant (Deciduous Timber / Shade Tree),,Pathway near Old Sports Complex,Large shade tree in open lawn campus groves,Primary Producer (Trophic Level 1),Native nitrogen-fixing leguminous tree with fragrant puff-like greenish-yellow pompon blossoms and rattling straw-colored seed pods. Major nesting site for babblers and coucals.,"Large spreading tree with bipinnate leaves, mimosa-like fragrant pompon flowers with long exerted stamens, and conspicuous flat papery seed pods ('Woman's tongue tree').",albizia_lebbeck.png,Assignment 2 Survey (Team Rehan),Team Viswa
FL-32,Variegated Spider Plant / Ribbon Plant,Chlorophytum comosum 'Variegatum',Asparagaceae,,Plant (Perennial Herb / Groundcover),,Near AB1,"Bare soil borders, kerbside planter beds",Primary Producer (Trophic Level 1),Tufted perennial grass-like herb with green leaves banded by creamy-white margins. Forms dense soil-covering root clusters and purifies ambient air.,Arching perennial herb with linear variegated striped leaves that sends out stoloniferous runners bearing small white starry flowers and miniature plantlets.,chlorophytum_comosum.png,Assignment 2 Survey (Team Rehan),Team Viswa
FL-33,Dumb Cane / Leopard Lily,Dieffenbachia seguine,Araceae,,Plant (Perennial Aroid),,Outside AB3 block,"Potted ornamental, shaded corridor",Primary Producer (Trophic Level 1),Broadleaf shade-tolerant foliage plant containing microscopic calcium oxalate raphides. Excellent indoor air purifier used to beautify shaded academic building breezeways.,Erect perennial with thick succulent canes and large ovate-elliptic dark green leaves heavily variegated with creamy yellow-white mottling.,dieffenbachia_seguine.png,Assignment 2 Survey (Team Rehan),Team Viswa
FL-34,Bushkiller Vine,Cayratia japonica,Vitaceae,,Plant (Herbaceous Climbing Vine),,Near AB1,Trailing groundcover over shrubs & fence lines,Primary Producer (Trophic Level 1),Vigorous vine with 5-foliolate compound leaves climbing by branched tendrils. Produces small nectar-bearing flowers that feed wasps and native bees.,"Perennial climbing herb in the grape family with pentafoliolate palmate leaves, forked tendrils, and small greenish-white flowers developing into dark berries.",cayratia_japonica.png,Assignment 2 Survey (Team Rehan),Team Viswa
FL-35,Campus Lithophytic Moss,Bryophyta sp.,Bryaceae,,Plant (Non-vascular Bryophyte),,Well near cricket ground,"Shaded, constantly moist rock and masonry surfaces",Primary Producer (Trophic Level 1),"Pioneer non-vascular plant forming spongy velvety green carpets on damp masonry and well rims. Retains atmospheric moisture, prevents erosion, and creates micro-soil for micro-arthropods.","Dense cushions of miniature green gametophytes with microphyll leaves lacking vascular bundles, anchored to masonry by multicellular rhizoids.",bryophyta_sp.png,Assignment 2 Survey (Team Rehan),Team Viswa
FL-36,Pink Trumpet Tree / Rosy Trumpet Tree,Tabebuia rosea,Bignoniaceae,,Plant (Deciduous Flowering Tree),,Central Avenue & Quadrangle Borders,"Landscaped avenues and open, sunny spaces",Primary Producer (Trophic Level 1),"Medium to large deciduous tree bearing showy pale-pink to lilac trumpet blossoms in dense corymbose clusters, offering a massive seasonal nectar flush for bees, butterflies, and sunbirds.","Medium to large tree with palmately compound leaves and showy pale-pink to lilac, trumpet-shaped flowers borne in dense clusters, often while the crown is nearly leafless. Native to Central America and northern South America and widely planted as an ornamental avenue tree.",tabebuia_rosea.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FL-37,Sausage Tree,Kigelia africana,Bignoniaceae,,Plant (Deciduous Flowering Tree),,Campus Perimeter Gardens & Lawn Borders,Open landscaped lawns and moist soil edges,Primary Producer (Trophic Level 1),"Distinctive spreading tree bearing nocturnal maroon-red cup-shaped flowers pollinated primarily by fruit bats, followed by massive woody pendulum-suspended sausage-like fruits.","Stout tree with rough grey bark, pinnate leaves, and nocturnal maroon cup-shaped flowers hanging on long rope-like peduncles. The heavy, gourd-like fibrous fruits hang suspended beneath the spreading canopy.",kigelia_africana.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FL-38,Banyan Tree / Indian Banyan,Ficus benghalensis,Moraceae,,Plant (Keystone Canopy Tree / Moraceae),,Campus Boundary & Temple Groves,"Open campus boundary, deep soil with ample canopy space",Primary Producer (Trophic Level 1),"National Tree of India and ecological keystone species. Its massive spreading canopy and aerial prop roots support hundreds of birds, fruit bats, squirrels, and insects with year-round fig crops.",Massive evergreen tree producing copious aerial prop roots that drop to the ground and form secondary woody trunks. Thick leathery ovate leaves with prominent pale veins and paired sessile red figs.,ficus_benghalensis.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FL-39,Tea Plant,Camellia sinensis,Theaceae,,Plant (Evergreen Shrub / Theaceae),,Botanical Display Garden & Potted Planters,"Moist, acidic soil under partial canopy shade",Primary Producer (Trophic Level 1),Evergreen shrub featuring serrated aromatic leaves and white nodding flowers with rich yellow stamens. Supports solitary bees and micro-pollinators.,Small evergreen shrub or small tree with glossy dark green elliptic serrated leaves and fragrant solitary white flowers with central bunches of golden-yellow stamens.,camellia_sinensis.png,Assignment 2 Survey (Team Shatmika),Team Shatmika
FL-40,Cathedral Bells / Air Plant / Miracle Leaf,Kalanchoe pinnata (syn. Bryophyllum pinnatum),Crassulaceae,,Plant (Succulent Herb / Medicinal Perennial),,Campus Temple & Rock Garden,"Dry rocky embankments, shaded garden borders",Primary Producer (Trophic Level 1),Crassulacean acid metabolism (CAM) succulent bearing crenate fleshy leaves that produce adventitious plantlets along leaf margins (vegetative propagation). Provides medicinal phytochemicals and drought-resilient microhabitat.,"Glabrous succulent perennial herb noted for thick, scalloped fleshy leaves capable of vegetative reproduction from leaf crenations. Known widely as the 'Miracle Leaf' or 'Air Plant'.",kalanchoe_pinnata.png,Assignment 2 Survey (Team Sasthika - Team 33),Team Sasthika
FL-41,Neem Tree / Indian Lilac / Margosa Tree,Azadirachta indica,Meliaceae,,Plant (Evergreen Canopy Tree / Meliaceae),,Campus Temple & Green Belts,"Temple grounds, avenue borders, arid campus soil",Primary Producer (Trophic Level 1),"Revered native evergreen tree producing azadirachtin-rich foliage and bark with potent bio-pesticidal and anti-microbial properties. Provides deep cooling shade, canopy cover, and edible drupes for birds and bats.","Large, spreading, fast-growing evergreen tree with pinnate leaves consisting of 20 to 30 falcate-serrated leaflets and fragrant white axillary panicles followed by small golden-yellow drupes.",azadirachta_indica.png,Assignment 2 Survey (Team Sasthika - Team 33),Team Sasthika
FL-42,Elephant's Foot / Prickly Chaff Flower,Elephantopus scaber,Asteraceae,Asterales,Herbaceous Wildflower (Asteraceae / Herb),Herbs & Groundcover,Central Campus Manicured Lawns,Open manicured grass turf and sunny garden borders,Primary Producer (Trophic Level 1),"Perennial taprooted herb with a basal rosette of leaves. Serves as a ground-layer primary producer, soil stabilizer, and nectar source for micro-insects.","Herbaceous perennial characterized by rigid rosette leaves closely appressed to the soil and an erect, dichotomously branched flowering stem bearing pale violet flower heads.",elephantopus_scaber.png,Assignment 2 Survey (Team Asmath),Team Asmath
FA-01,Dolic Bug / Ground Bug (Milkweed Bug),Spilostethus hospes,Lygaeidae,Hemiptera (True Bugs),Insect (True Bug / Hemiptera),Insects / Arthropods,Pathway behind Dhanyas,Ground herbaceous layer & seed pods,Primary Consumer / Herbivore (Trophic Level 2),Red and black aposematic (warning) coloration signaling distastefulness to predators. Feeds on plant seeds and sap across composite weeds.,Seed bug displaying high-contrast crimson and black geometric markings. Feeds selectively on seed fluids and serves as prey for specialized predators.,spilostethus_hospes.png,Survey Specimen 13,Team Aryan
FA-02,Crimson Rose Butterfly,Pachliopta hector,Papilionidae,Lepidoptera (Butterflies & Moths),Insect (Swallowtail Butterfly / Lepidoptera),Insects / Arthropods,Ladies Hostel,Terrestrial & Aerial (Flowering gardens),Primary Consumer / Herbivore (Trophic Level 2),Schedule I protected species endemic to South Asia. Striking black swallowtail with prominent crimson-red crescent spots on hindwings. Vital pollinator.,"Large, breathtaking swallowtail butterfly with velvety-black forewings crossed by white bands and brilliant crimson-red spots along the scalloped margin of hindwings. Pollinates diverse flowering flora.",pachliopta_hector.png,Survey Specimen 14,Team Aryan
FA-03,Indian Paper Wasp / Yellow Paper Wasp,Ropalidia marginata,Vespidae,"Hymenoptera (Wasps, Bees, Ants)",Insect (Social Wasp / Hymenoptera),Insects / Arthropods,AB3,"Terrestrial & Arboreal (Under leaf surfaces, building eaves)",Secondary Consumer / Insectivore (Trophic Level 3),Primitively eusocial wasp constructing small open paper comb nests. Essential natural pest control agent preying on garden caterpillars and insect larvae.,"Slender brownish-yellow social wasp renowned as a model organism in sociobiology. Workers forage tirelessly for caterpillars and insect larvae to feed developing broods, providing biocontrol.",ropalidia_marginata.png,Survey Specimen 15,Team Aryan
FA-04,Giant African Snail,Lissachatina fulica (syn. Achatina fulica),Achatinidae,Stylommatophora (Land Snails),Mollusc (Terrestrial Gastropod / Achatinidae),Molluscs,Pathway behind Dhanyas,Moist soil litter & shaded garden beds,Primary Consumer / Detritivore & Decomposer (Trophic Level 2),"Large herbivorous land snail with conical banded shell. Acts as a decomposer of decaying plant matter, active predominantly during humid/monsoon conditions.","Massive terrestrial pulmonate gastropod with a tall, conical brown and yellow variegated shell. Feeds voraciously on decaying vegetation, recycling organic matter into soil humus.",lissachatina_fulica.png,Survey Specimen 16,Team Aryan
FA-05,Indian Freshwater / Field Crab,Oziotelphusa senex,Gecarcinucidae,"Decapoda (Crabs, Shrimps)",Crustacean (Decapoda / Freshwater Crab),Crustaceans,Pathway behind Dhanyas,"Wetland margins, moist earthen burrows, seasonal puddles",Primary/Secondary Consumer & Detritivore (Trophic Level 2-3),Burrowing freshwater crab active during night and rainy periods. Plays a critical role in nutrient cycling and soil aeration in campus wetland margins.,Semi-terrestrial freshwater burrowing crab with dark brownish carapace and adapted chelae for digging. Deep burrows aerate soil and provide vital prey for larger wading birds and mammals.,oziotelphusa_senex.png,Survey Specimen 17,Team Aryan
FA-06,Red Cotton Stainer,Dysdercus cingulatus,Pyrrhocoridae,Hemiptera (True Bugs),Insect (True Bug / Hemiptera),Insects / Arthropods,Pathway behind Dhanyas,"Foliage, flowers, and ground litter of Malvaceae plants",Primary Consumer / Herbivore (Trophic Level 2),Phytophagous bug with bright crimson body and black dorsal patches. Frequently observed in mating pairs (tail-to-tail copulation) on ground and foliage.,"Vibrantly colored hemipteran bug with bright red body, white transverse abdominal bands, and black markings on hemelytra. Often seen gregariously feeding on hibiscus flower buds and seeds.",dysdercus_cingulatus.png,Survey Specimen 18,Team Aryan
FA-07,Red-Headed / Banded Millipede,Xenobolus carnifex,Pachybolidae,Spirobolida (Round-backed Millipedes),Myriapod (Diplopoda / Arthropod),Myriapods / Arthropods,Pathway to Rishabhs,"Leaf litter, decaying logs, moist soil humus",Primary Consumer / Primary Detritivore (Trophic Level 2),Cylindrical detritivore with dark trunk and vibrant red dorsal spots/bands. Crucial primary decomposer breaking down leaf litter and enhancing soil organic matter.,Striking millipede featuring a dark cylindrical exoskeleton accented by vibrant crimson-red bands and head. Plays an indispensable role in converting coarse mulch into bioavailable soil nutrients.,xenobolus_carnifex.png,Survey Specimen 19,Team Aryan
FA-08,Yellow-billed Babbler (Seven Sisters),Argya affinis (syn. Turdoides affinis),Leiothrichidae,Passeriformes (Perching Birds),Bird (Avifauna / Leiothrichidae),Birds (Avifauna),Pathway behind Dhanyas,"Undergrowth, hedge perimeters, open ground",Secondary Consumer / Insectivore-Omnivore (Trophic Level 3),"Highly gregarious endemic passerine with a pale grey-white cap and yellowish bill. Forages in noisy groups on the ground and trees, consuming insects, berries, and nectar.",Endemic southern Indian songbird renowned for foraging in tight communal flocks of 6 to 10 individuals ('Seven Sisters'). Energetically flips leaf litter to uncover hidden insects and larvae.,argya_affinis.png,Survey Specimen 20,Team Aryan
